scene,in,out,dur_s,words,narration,image_prompt
1,0:00:00.000,0:00:12.832,12.83,40,"The stage had not even settled on its springs before Everett Dunmore looked at the woman climbing down from it, in front of the whole of Poplar Bend, and said loud enough to carry the length of the street, ""No.",
2,0:00:12.832,0:00:32.721,19.89,62,"That is not the woman in the picture. Put her back on."" Her name was Hester Merritt, and she had come nine hundred miles to marry him. She stood in the road with her one carpet bag in both hands and the dust of four days' travel on her good gray dress, and she heard the words, and she did not flinch,",
3,0:00:32.721,0:00:44.590,11.87,37,"which cost her more than flinching would have. She had known, somewhere below her hoping, that this might come. She was three-and-thirty and the photograph she had sent was ten years old and taken before the fire,",
4,0:00:44.590,0:00:55.497,10.91,34,"and on the left side of her jaw and running down her neck and along the back of her right hand was the smooth pale seam that fire leaves, that no bonnet quite hid,",
5,0:00:55.497,0:01:11.216,15.72,49,"that no ten-year-old tintype had ever shown. She had sent the old picture because it was the only one she had, and because a woman with a marked face and empty pockets and no people left does not get to be particular about the truth she tells to survive.",
6,0:01:11.216,0:01:23.406,12.19,38,"She had meant to explain it to him gently, the first evening, over supper. She had not counted on him reading her face in the street like a bill of goods that had come damaged in the freight.",
7,0:01:23.406,0:01:35.276,11.87,37,"""Mr. Dunmore,"" she began, and her voice was steady, ""if you'll let me —"" ""I paid for a young woman,"" Dunmore said, to her and to the gathered street both, because Everett Dunmore never wasted an audience.",
8,0:01:35.276,0:01:44.900,9.62,30,"He was the freight and mercantile man of Poplar Bend, prosperous and pink and pleased with himself, in a checked waistcoat with a watch chain thick as a bridle rein,",
9,0:01:44.900,0:02:01.902,17.0,53,"and he had ordered himself a bride the way he ordered everything else, from a catalogue, by the picture. ""I paid the agency good money on the strength of a likeness, and this — "" he made a small disgusted gesture at her face, at all of her — ""is not that likeness.",
10,0:02:01.902,0:02:18.262,16.36,51,"I'll not be cheated. There's a stage back east on Thursday. You'll take it, and you'll take your bag, and there's an end."" And the town of Poplar Bend stood on its boardwalks in the flat morning light and watched a woman be sent back like a crate of spoiled apples,",
11,0:02:18.262,0:02:30.452,12.19,38,"and some of them had the decency to look at their boots, and some of them did not, and one or two of them laughed, the small ugly laugh of people glad the shame belongs to someone else.",
12,0:02:30.452,0:02:44.567,14.11,44,"Here is what not one soul on that street knew, watching Hester Merritt stand marked and rejected in the road with her bag in her two hands. There was a man in that crowd who had been looking for her face for ten years.",
13,0:02:44.567,0:02:59.003,14.44,45,"He was standing in the shadow of the smithy across the road, a big burned quiet man with a leather apron and a scar of his own, and when Everett Dunmore said ""that is not the woman in the picture,"" this man went very still,",
14,0:02:59.003,0:03:11.835,12.83,40,"the way a man goes still when the thing he has half stopped believing in walks out of a stagecoach into the noon light. He knew that face. Not the picture — the face, the marked one, the real one.",
15,0:03:11.835,0:03:24.346,12.51,39,"He had reason to. And he was about to do a thing that would set the whole town's tongue wagging for a year, and that no one, least of all the woman herself, would understand for a long while.",
16,0:03:24.346,0:03:33.649,9.3,29,"Stay with me. Because a bride was about to be rejected in the dust of Poplar Bend, and rescued, and neither of those was quite what it looked like.",
17,0:03:33.649,0:03:45.197,11.55,36,"This is the story of a woman the world judged by a scar and a photograph, and the scarred man who had spent ten years quietly building a life for the day he might find her",
18,0:03:45.197,0:03:54.821,9.62,30,"and the secret he kept from her through the whole of it, because he wanted her to be chosen for herself and not for a debt. Stay to the end.",
19,0:03:54.821,0:04:06.691,11.87,37,"You will want to be there in the firelight when she finally learns why a stranger married her, and what he had been keeping in a box by his bed since before she ever knew his name.",
20,0:04:06.691,0:04:22.730,16.04,50,"To understand Ezra Vance, you have to go back ten years and nine hundred miles, to a different town and a different fire. He had been five-and-twenty then, and he had come off a bad stretch a smithy of his own that burned in the night with him in it,",
21,0:04:22.730,0:04:43.261,20.53,64,"dragged out by a neighbor with his shirt alight and the whole left side of his face and his arm and shoulder taken by the flame. He lived. That was the cruelty of it, some days; he lived, and healed wrong and tight and shining, and came out the other side a young man with an old ruin for a face, and no shop,",
22,0:04:43.261,0:05:01.546,18.29,57,"and no money, and a way of catching sight of himself in a window glass that made him flinch worse than the burning had. He drifted. He looked for smith work and found that men do not want a scarred stranger leaning over their horses; a face like his made people uneasy, and uneasy people find reasons.",
23,0:05:01.546,0:05:14.378,12.83,40,"He went hungry. He learned the particular arithmetic of the marked man — that the world will feed a plain beggar sooner than a frightening one, that a scar reads as a sin to people who have never been burned.",
24,0:05:14.378,0:05:32.022,17.64,55,"He came into a town called Ballard's Crossing on a cold March day with nothing in him but three days' emptiness, and he stood outside a bakery because the warm bread smell was the closest thing to kindness he'd had in a week, and he did not go in, because he had learned not to.",
25,0:05:32.022,0:05:44.212,12.19,38,"And a young woman came out. She was maybe twenty, plain and quick and unafraid, with flour on her apron and her sleeves shoved up, and she looked at his face really looked, the way almost nobody did,",
26,0:05:44.212,0:05:54.157,9.94,31,"straight at the ruin of it without the little wince and she did not step back. ""You've been standing there an hour,"" she said. ""You'll either freeze or you'll come in.",
27,0:05:54.157,0:06:05.385,11.23,35,"I've got yesterday's loaves I can't sell and a pot on. Come in, for pity's sake, you're letting the cold in the door."" Her name was Hester. He didn't get the second name, not then.",
