scene,in,out,dur_s,words,narration,image_prompt
1,0:00:00.000,0:00:10.490,10.49,32,"Every Sunday for twenty years, Winifred Holloway set two places at a table meant for one, and every Sunday the town of Sweetwater found that a little funnier and a little sadder,",
2,0:00:10.490,0:00:28.191,17.7,54,"until it had settled into the kind of joke a town tells about a woman it has decided is harmless and mad. She would lay the second plate the way you lay a plate for someone you expect — squared to the table edge, the fork just so, a cup turned right side up.",
3,0:00:28.191,0:00:39.336,11.15,34,"She would put out a second chair, a small one, a child's chair she had never let go of though the child it was made for had not sat in it in two decades.",
4,0:00:39.336,0:00:49.498,10.16,31,"And she would cook for two out of a cupboard that could barely feed one, and she would sit, and she would wait through the meal getting cold across from her,",
5,0:00:49.498,0:01:01.954,12.46,38,"and then she would scrape the untouched plate back into the pot for the week's soup, because Winnie Holloway was poor to the bone and even a mad woman's hope has to answer to the price of flour.",
6,0:01:01.954,0:01:14.083,12.13,37,"The town knew the story, or thought it did. Everybody in Sweetwater knew that old Winnie who scrubbed the church floors and took in the washing had once had a boy, and that the boy was gone,",
7,0:01:14.083,0:01:26.539,12.46,38,and that she had never in twenty years stopped saying he was coming home. Some of them were kind about it. The women would leave her a little extra at the back door and not mention the plate.,
8,0:01:26.539,0:01:39.651,13.11,40,"Some of them were not kind. The men at the saloon had a name for her Sunday ritual, and boys dared each other to peek in her window at suppertime to see the crazy washerwoman talking to an empty chair,",
9,0:01:39.651,0:01:49.157,9.51,29,"and when they ran off laughing she never chased them, she only got up and drew the curtain, gentle, the way you close a door on a cold night.",
10,0:01:49.157,0:01:58.336,9.18,28,"Because here is the thing the town of Sweetwater had gotten wrong, the way towns get things wrong — comfortably, and for a long time, and all together.",
11,0:01:58.336,0:02:10.792,12.46,38,"Winnie Holloway was not mad. And her boy had not run off, and he had not died. Her boy had been *taken*. Taken in the daylight, in front of witnesses, and carried east in a fine man's coach,",
12,0:02:10.792,0:02:20.298,9.51,29,by the very man who now sat in the biggest house in Sweetwater and tipped his hat to Winnie on the street with a smile like a closed drawer.,
13,0:02:20.298,0:02:33.410,13.11,40,"The town had watched it happen twenty years ago and then, being a town, had found it more comfortable to remember it as a poor woman losing her wits than as a thing they had all stood by and allowed.",
14,0:02:33.410,0:02:49.145,15.73,48,"Stay with me. Because twenty years is a long time to set a place for someone. But it is not, as this town was about to learn on a bright Sunday in the fall, one single day longer than a certain kind of love is willing to wait.",
15,0:02:49.145,0:03:02.912,13.77,42,"Somebody was coming up the Sweetwater road. Stay for the knock. This is the story of a mother the whole town called mad for refusing to stop waiting, the powerful man who stole her child and prospered on it, and the Sunday",
16,0:03:02.912,0:03:19.302,16.39,50,"you will want to be at that table for it when the empty chair was finally, after twenty years, filled. Stay to the end. There is a knock coming at Winnie Holloway's door, and you have waited your whole life to hear who is on the other side of it.",
17,0:03:19.302,0:03:28.808,9.51,29,"To understand what was taken from her, you have to understand what she had, because she did not always scrub floors, and the small chair was not always empty.",
18,0:03:28.808,0:03:44.871,16.06,49,"Winnie had married Thomas Holloway at twenty, and they had been, by the plain measures that are the only ones that matter, happy. Thomas was a farrier and a fair hand with a bit of land at the edge of Sweetwater, not a prosperous man but a good one,",
19,0:03:44.871,0:04:04.211,19.34,59,"with a laugh and a gentleness and a way of singing under his breath when he worked that Winnie could find him by across two fields. And when their son was born they named him Jonah, and Thomas made him a little chair with his own hands, sized for a small boy to sit up at the grown-up table,",
20,0:04:04.211,0:04:20.928,16.72,51,"sanded smooth so the child would get no splinters, and he carved into the back of it a little running horse, because Jonah loved the horses in his father's paddock more than anything on God's earth and would stand at the rail for hours with his fat hand out, fearless, laughing,",
21,0:04:20.928,0:04:38.630,17.7,54,"while the big animals lipped at his palm. It was a small life and a poor one and it was, while it lasted, full to the brim. Winnie could close her eyes twenty years later and have the whole of it back in a breath: the smell of the bread she baked on Thursdays,",
22,0:04:38.630,0:04:48.791,10.16,31,"the sound of Thomas singing low over a hoof in the lean-to, the particular weight of a sleeping six-year-old carried in from the paddock at dusk with hay in his hair.",
23,0:04:48.791,0:05:06.165,17.37,53,"Jonah was a fearless child, a laugher, a boy who felt about horses the way other children feel about Christmas, and Thomas would set him on the top rail and stand behind with a hand at his back, and the two of them would watch the animals come up in the blue evening,",
24,0:05:06.165,0:05:18.621,12.46,38,"and Winnie would watch the two of them from the kitchen door and think, in the plain unguarded way of a happy woman, that she had gotten more than her share and had better be grateful for it.",
25,0:05:18.621,0:05:30.750,12.13,37,"She was grateful for it. That is the thing she held onto hardest, in the years after, on the nights the not-having threatened to take her mind for true — that she had not wasted the having.",
26,0:05:30.750,0:05:47.140,16.39,50,"That she had known, while she held it, that it was everything. Jonah was six years old the winter everything came apart. It came apart the way it came apart for a great many families on the frontier, which is to say suddenly and through no fault of their own.",
27,0:05:47.140,0:05:58.613,11.47,35,"There was a sickness that year a fever that went through the stock first and then through the people and Thomas Holloway, tending his neighbors' animals because that was the kind of man he was,",
28,0:05:58.613,0:06:12.380,13.77,42,"took it, and was dead inside of a week, in the cold heart of a winter that had already emptied the smokehouse. And Winnie was left a widow at twenty-eight with a six-year-old boy, a played-out bit of land under a mortgage,",
29,0:06:12.380,0:06:29.098,16.72,51,"and a fever still in the county that meant no work and no help and no mercy from the season. The mortgage was held by Malcolm Radcliffe. Now, I want you to hold that name, because he is the villain of this piece and he is a particular kind of villain,",
30,0:06:29.098,0:06:40.243,11.15,34,"the kind this frontier bred in great numbers and the kind that is with us yet not a man who robs you with a gun, but a man who robs you with a signature,",
31,0:06:40.243,0:06:51.061,10.82,33,"and a smile, and the full protection of the law, and then sleeps like a baby because he never once broke a rule he hadn't first arranged to have written in his favor.",
32,0:06:51.061,0:07:01.223,10.16,31,"Malcolm Radcliffe was about to do the single cruelest thing one human being can do to another, and he was about to do it *legally*, and that is why it worked,",
33,0:07:01.223,0:07:20.235,19.01,58,"and that is why it stood for twenty years. Watch how it's done. It matters that you understand exactly how it was done. Malcolm Radcliffe owned the bank in Sweetwater, and through the bank he owned a good deal of the town, and he was a big soft-spoken man who wore black broadcloth and quoted Scripture and had,",
34,0:07:20.235,0:07:34.002,13.77,42,"in the place where other men keep a conscience, a ledger. When Thomas Holloway died owing him on the land, Radcliffe came to the little farmhouse himself, in person, which the neighbors took for kindness and which was in fact something colder,",
35,0:07:34.002,0:07:48.098,14.1,43,"because Malcolm Radcliffe never sent a man to do a thing he could enjoy doing himself. He sat in Winnie's kitchen, in Thomas's chair, and he laid it out for her gently, sorrowfully, in that closed-drawer voice, that the debt was the debt,",
36,0:07:48.098,0:07:59.571,11.47,35,"that a widow with no man and no crop could never hope to pay it, that the bank would of course have to take the land but that he, Malcolm Radcliffe, being a Christian man,",
37,0:07:59.571,0:08:10.060,10.49,32,"had thought of a way to spare her the worst of it. He and his wife back east had no children of their own, he said. It was a grief to them.",
38,0:08:10.060,0:08:21.861,11.8,36,"And here was this fine strong healthy boy, this Jonah, headed for nothing but a poorhouse or worse with a penniless widowed mother why, if Winnie would sign the boy over to the Radcliffes to raise,",
39,0:08:21.861,0:08:34.973,13.11,40,"to be given a name and an education and a future no washerwoman could ever provide, then Malcolm Radcliffe would forgive the debt entire, clear the mortgage, and let her keep a corner of the land and her freedom besides.",
40,0:08:34.973,0:08:45.135,10.16,31,He said it was the boy's *best chance*. He said a good mother would want what was best for her son over what was easy for herself. He said it kindly.,
41,0:08:45.135,0:08:57.591,12.46,38,"He said it the way the Devil says things, which is to say he wrapped the theft of a child in the language of a mother's love, so that if she refused she would be the selfish one.",
42,0:08:57.591,0:09:11.031,13.44,41,"And Winnie Holloway said no. She said no with a fury that frightened him, this small worn woman in a cold kitchen; she said she would sooner starve on that land with her boy than eat a king's bread without him;",
43,0:09:11.031,0:09:29.060,18.03,55,"she said get out, get out of Thomas's chair and out of my house, you will not have my son. And Malcolm Radcliffe stood up, and brushed off his broadcloth, and said, in the doorway, not unkindly, that she should think it over, because the law was the law and the debt was the debt,",
44,0:09:29.060,0:09:38.239,9.18,28,"and he would be back when the note came due, and there were only so many ways this could go for a woman with nothing. He was patient.",
45,0:09:38.239,0:09:49.056,10.82,33,"That is the thing about his kind, the thing that makes them so hard to fight — they have time, and you do not. He let the winter do his work for him.",
46,0:09:49.056,0:10:02.824,13.77,42,"He let the note come due. And when it did, and Winnie could not pay it, because of course she could not pay it, no power on earth could have paid it, he did not send the boy east as a mercy.",
47,0:10:02.824,0:10:12.657,9.83,30,"He took him as a *creditor*. Stay with me. This is the part the town watched, and this is the part the town spent twenty years pretending it had misremembered.",
48,0:10:12.657,0:10:27.081,14.42,44,"The morning they took Jonah, there was frost on the paddock rail where the boy used to feed the horses. Radcliffe came with a paper and with the sheriff a weak man who did what the bank told him and the paper was lawful,",
49,0:10:27.081,0:10:36.587,9.51,29,"foreclosure and a writ and words Winnie couldn't read fast enough to fight, and the long and the short of it was that the land was the bank's now,",
50,0:10:36.587,0:10:48.060,11.47,35,"and the widow was a trespasser on it, and the only thing Malcolm Radcliffe was offering, still, in his Christian mercy, was the same bargain: the boy for the debt, the boy for a roof,",
51,0:10:48.060,0:11:01.500,13.44,41,"the boy for her own survival. Only now it wasn't a bargain. Now it was the sheriff standing in the yard, and a coach waiting, and a fine cold woman in the coach who was to be the boy's new mother,",
52,0:11:01.500,0:11:12.317,10.82,33,"and a mad scramble and a child screaming for his mama and a mother's arms being *held* physically held, by two men, while her son was carried past her into a stranger's coach",
