scene,in,out,dur_s,words,narration,image_prompt
1,0:00:00.000,0:00:18.373,18.37,55,"Caleb Carraway sent his first wife a wedding invitation to his second wedding. Think on that a moment. The man who had turned Josephine Ellery out of his house with one trunk and no explanation who had told the whole town of Larkspur she was cold, and barren, and not the wife he'd bargained for",
2,0:00:18.373,0:00:29.397,11.02,33,"that same man wrote her name on a fine cream card in his own hand and had it carried to her door. Come to the wedding, it said. There's a seat for you.",
3,0:00:29.397,0:00:48.773,19.38,58,"And there was a seat. Caleb had made sure of it. He'd had them put a single chair at the very back of the church, behind the servants and the hired hands, where the whole congregation could turn and look at the woman he'd thrown away and have a good laugh at her before he married a richer,",
4,0:00:48.773,0:01:07.814,19.04,57,"younger bride at the front. Josephine came. In her one good dress, alone, and sat where he'd put her. What Caleb Carraway did not know — what nobody in that packed church knew — was that a hard-faced man was riding into Larkspur that very morning with a star on his chest and news in his saddlebag.",
5,0:01:07.814,0:01:17.836,10.02,30,"And when that man walked into the church and took off his hat, he was not going to take it off to the groom. Stay by the fire tonight, friend.",
6,0:01:17.836,0:01:29.194,11.36,34,This is the story of a woman they sat at the back to shame — and the moment the most powerful man in the territory crossed a silent church to stand at her side.,
7,0:01:29.194,0:01:49.571,20.38,61,"Josephine Ellery married Caleb Carraway when she was twenty-two, and for the first year she believed she was loved. She'd come out to Larkspur an orphan, like so many did, with nothing but a good name from back East that meant nothing out here and a way of carrying herself that Caleb had mistaken, at first, for the manners of money.",
8,0:01:49.571,0:02:07.276,17.71,53,"That was Caleb's whole trouble, if you want the root of it. Caleb Carraway loved money the way some men love whiskey — it was the first thing he thought of in the morning and the last thing he wanted at night, and he could not look at a person without pricing them.",
9,0:02:07.276,0:02:23.645,16.37,49,"He'd married Josephine because he thought she had prospects. Some inheritance back East, some rich uncle, something. And when the first year passed and no money came, and no child came either, Caleb's love — if it had ever been love and not arithmetic — curdled into something cold.",
10,0:02:23.645,0:02:36.006,12.36,37,He began to tell people things. That she was sickly. That she was cold in the house. That a man had a right to expect more from a wife than Josephine Ellery had turned out to be.,
11,0:02:36.006,0:02:51.038,15.03,45,"And Larkspur, which loved a bit of talk the way all small towns do, passed it hand to hand until it hardened into the truth everyone knew: that the Carraway marriage was a bad bargain, and everybody but poor foolish Caleb had seen it coming.",
12,0:02:51.038,0:03:10.080,19.04,57,"The morning he turned her out, he didn't even do it himself. He had his hired man carry her trunk to the porch and told her, through the closed study door, that there was a room let for her at the boardinghouse and she'd best take it, and that he'd be seeing a lawyer about the marriage.",
13,0:03:10.080,0:03:21.772,11.69,35,"And that was all. Six years a wife, and it ended through a closed door on a gray morning. Josephine did not scream, or beg, or make a scene for the neighbors to feed on.",
14,0:03:21.772,0:03:37.472,15.7,47,"She picked up her trunk she was strong, though folks never guessed it to look at her and she walked the half-mile into town with her back straight and her eyes dry, and she took the little room at the top of the boardinghouse, and she began,",
15,0:03:37.472,0:03:52.171,14.7,44,"quietly, to make a life out of the pieces he'd left her. The boardinghouse in Larkspur was kept by an old widow named Beatrice, and Beatrice was the second-best thing that ever happened to Josephine Ellery, though it took a while to see it.",
16,0:03:52.171,0:04:02.861,10.69,32,"Beatrice had watched a lot of women come up her stairs broken by a lot of men, and she knew the difference between the ones who'd sink and the ones who'd swim.",
17,0:04:02.861,0:04:16.891,14.03,42,"She watched Josephine that first week — watched her not cry where anyone could see, watched her take in mending to pay her own way rather than owe a soul a cent — and Beatrice said to herself, that one's a swimmer.",
18,0:04:16.891,0:04:27.247,10.36,31,"""You could go back East,"" Beatrice told her once. ""Nobody there'd know."" ""I'll not run from Larkspur,"" Josephine said, threading a needle by the window. ""I've done nothing to run from.",
19,0:04:27.247,0:04:44.952,17.71,53,"Let them look at me on the street. I can bear being looked at. What I can't do is agree with them that I ought to be ashamed."" And so she stayed, and she took in sewing, and she walked to church every Sunday and sat where she pleased, and slowly very slowly",
20,0:04:44.952,0:04:55.308,10.36,31,"a few of the kinder souls in Larkspur began to notice that the cold barren woman Caleb Carraway had described did not match the quiet, steady, hardworking woman they actually saw.",
21,0:04:55.308,0:05:17.022,21.71,65,"But talk is stronger than sight in a small town. Most folks went on believing Caleb, because Caleb was rich and charming and it was easier. What none of them knew — what Josephine herself did not know, that whole first year alone — was that far away, on a cattle spread up in the northern part of the territory, an old man was dying.",
22,0:05:17.022,0:05:30.050,13.03,39,"And that old man was Josephine's uncle. The rich uncle Caleb had married her hoping for, and given up on, and thrown her away for lacking. He was real. Caleb had just been too impatient to wait for him.",
23,0:05:30.050,0:05:45.751,15.7,47,"And when that old man died, he left every acre and every head of cattle and every dollar he had in the world to the one blood relation he had left living a niece out west named Josephine Ellery, whom he had never met, but whose letters,",
24,0:05:45.751,0:05:56.441,10.69,32,"over the years, had been the only kind thing that reached his lonely deathbed. But that news was still riding toward Larkspur. And before it got there, Caleb Carraway sent his invitations.",
25,0:05:56.441,0:06:11.474,15.03,45,"Caleb had done well for himself the second time, in the way he measured things. Her name was Adelaide Vestry, and she was the only daughter of August Vestry, who owned the bank in Larkspur and half the paper on every ranch in the county.",
26,0:06:11.474,0:06:23.166,11.69,35,"To marry a Vestry was to marry the bank itself, and Caleb had courted August's daughter with the single-minded hunger of a man who'd finally found the strike he'd been prospecting for his whole life.",
27,0:06:23.166,0:06:45.214,22.05,66,"Adelaide herself was young, and pretty, and had been raised to believe the world arranged itself for her comfort. She was not cruel by nature, exactly but she was careless, the way protected people are careless, and when Caleb told her the story of his cold, barren, disappointing first wife, Adelaide believed it without a second's thought, because it flattered her to be the better bargain.",
28,0:06:45.214,0:06:55.903,10.69,32,"The wedding was to be the grandest Larkspur had seen. The whole town was asked. And it was August Vestry's own idea, whispered to Caleb over brandy, to invite the first wife.",
29,0:06:55.903,0:07:07.930,12.03,36,"""Let the town see the difference,"" the old banker said, swirling his glass. ""Let them see what you had, and what you've got now. Sit her at the back where they can all have a look.",
30,0:07:07.930,0:07:18.954,11.02,33,"It'll put the last nail in that old talk about you for good."" And Caleb, who never could resist twisting a knife when it cost him nothing, thought it was a fine idea.",
31,0:07:18.954,0:07:29.978,11.02,33,"So the fine cream card went out to the boardinghouse. Come to the wedding. There's a seat for you. Beatrice wanted to burn it in the stove. ""Don't you dare go,"" she said.",
32,0:07:29.978,0:07:40.667,10.69,32,"""Don't you give them the show they're paying for."" Josephine turned the card over in her hands a long time by the window. And then she said a thing Beatrice never forgot.",
33,0:07:40.667,0:07:51.357,10.69,32,"""I'll go,"" Josephine said. ""Not for him. I'll go because if I hide in this room, then his story is the true one — the shamed woman who couldn't show her face.",
34,0:07:51.357,0:08:05.722,14.36,43,"But if I walk in there in my own good dress, and sit where they put me, and hold my head up through the whole of it, then whatever they say after, they'll have to say it about a woman who wasn't afraid.",
35,0:08:05.722,0:08:20.086,14.36,43,"That's worth sitting at the back for. That's worth a great deal."" Beatrice looked at her a long moment, and then she got out her own good shawl, the one she saved for funerals and weddings, and she draped it around Josephine's shoulders.",
36,0:08:20.086,0:08:33.115,13.03,39,"""Then you'll not go alone,"" the old woman said. ""And you'll not go looking like anybody's charity. Sit up straight, girl. Let's go to a wedding."" The church was full to the walls the morning of the Carraway wedding.",
37,0:08:33.115,0:08:44.807,11.69,35,"Everyone came. The whole of Larkspur in its Sunday best, packed into the pews, buzzing and turning and craning — because everyone knew the first wife had been asked, and everyone wanted to see it.",
38,0:08:44.807,0:08:57.835,13.03,39,"There is a cruelty that gets into a whole crowd sometimes, a thing that no one of them would do alone but all of them will do together, and it was in that church that morning thick as smoke.",
39,0:08:57.835,0:09:17.210,19.38,58,"Josephine walked in on old Beatrice's arm. The buzzing dropped to a hiss of whispers. Every head turned. And Josephine Ellery walked the length of that aisle to the single chair at the very back behind the hired hands, behind the servants, in the worst and lowest seat in the whole church and she sat down in it,",
40,0:09:17.210,0:09:27.566,10.36,31,"and she folded her hands in her lap, and she looked straight ahead with a calm still face, and she gave them nothing. No tears. No flinch. Nothing to feed on.",
41,0:09:27.566,0:09:39.926,12.36,37,"Up at the front, Caleb Carraway saw her come in, and he smiled. Adelaide, in her fine wedding dress, followed his glance to the back of the church and gave a small satisfied smile of her own.",
42,0:09:39.926,0:09:51.284,11.36,34,"August Vestry, the banker, permitted himself a quiet nod. The stage was set exactly as they'd wanted it. And then, just as the preacher opened his book, the doors of the church opened again.",
43,0:09:51.284,0:10:07.319,16.03,48,"A man stood in them. He was tall and dust-covered from a long hard ride, and there was a marshal's star on his chest, and the whole church went quiet in a different way now — the way a room goes quiet when real authority walks into it.",
44,0:10:07.319,0:10:18.677,11.36,34,"This was no ordinary town lawman. This was Isaiah Cobb, United States Marshal for the whole territory, a name every soul in Larkspur knew and most had never expected to see in the flesh.",
45,0:10:18.677,0:10:29.367,10.69,32,"Men like Cobb didn't come to weddings. When a man like Cobb came through your door, something serious had come with him. Caleb Carraway's smile faltered. A U.S. Marshal, at his wedding?",
46,0:10:29.367,0:10:44.066,14.7,44,"His mind raced — some trouble, some paper, some claim — and he stepped forward, all charm, spreading his hands. ""Marshal! You honor us. If you've business, surely it can wait till after the — "" But Marshal Isaiah Cobb wasn't looking at Caleb.",
47,0:10:44.066,0:10:58.764,14.7,44,"He wasn't looking at the front of the church at all. He was looking down the length of it, past the fine folks and the flowers and the bride in her white dress, all the way to the single chair at the very back",
48,0:10:58.764,0:11:09.120,10.36,31,"to the woman in the plain good dress with the borrowed shawl and the straight, unafraid back. And Marshal Cobb took off his hat. He took off his hat to her.",
49,0:11:09.120,0:11:28.496,19.38,58,To the woman at the back. To the cast-off wife they'd seated with the servants to laugh at. The most powerful man in the territory pulled the dusty hat from his head and held it against his chest and inclined his head to Josephine Ellery like she was the only person of consequence in that entire crowded church.,
50,0:11:28.496,0:11:49.207,20.71,62,"And then he began to walk toward her. Not down the center aisle to the groom. Cobb walked the long way, along the wall, past every stunned and craning face, straight to the back of the church and the whole congregation twisted in their pews to watch him go, and you could feel the confusion rolling through them like a cold wind,",
51,0:11:49.207,0:12:11.255,22.05,66,"because nothing about this was how it was supposed to happen. Caleb Carraway stood frozen at the altar with his mouth half open. Marshal Cobb reached the back of the church, and he stopped in front of the woman in the borrowed shawl, and in a voice pitched low but clear enough to carry to every last ear in that dead-silent room, he said: ""Miss Ellery.",
52,0:12:11.255,0:12:22.613,11.36,34,"I've ridden four days to find you. I'm sorry to bring it to you here, in front of all these people."" He paused. ""But I don't believe these people know yet who you are.",
53,0:12:22.613,0:12:32.635,10.02,30,"And I think it's past time they did."" Josephine looked up at him, and for the first time that morning, something moved in her calm face — not fear. Bewilderment.",
54,0:12:32.635,0:12:50.340,17.71,53,"""Sir,"" she said, ""I don't — I don't know you. What is this?"" And Marshal Isaiah Cobb, U.S. Marshal for the territory, turned around to face the whole gaping church — the bride, the groom, the banker, the smirking crowd who'd come to watch a woman be shamed — and he told them.",
55,0:12:50.340,0:13:06.041,15.7,47,"""My name is Isaiah Cobb,"" the marshal said, ""United States Marshal, and I have come to Larkspur on official business, which is to find and to inform the sole heir of the estate of Mister Augustus Ellery of the Northern Range."" A murmur went through the church.",
56,0:13:06.041,0:13:19.737,13.7,41,"Ellery. It was her name. ""Some of you may have heard of Gus Ellery,"" Cobb went on, turning slow so his words fell on every part of the room. ""He owned the biggest cattle outfit in the north of this territory.",
57,0:13:19.737,0:13:29.759,10.02,30,"Sixty thousand acres. Twelve thousand head. And a good deal of money in banks a great deal larger than the one here in Larkspur."" He let that sit a moment.",
58,0:13:29.759,0:13:48.132,18.37,55,"""Gus Ellery died this spring. He had no wife, and no children, and he outlived every friend he ever had. But he had one blood relation left in all the world — a niece, out west, who wrote him a kind letter every month for eleven years though the two of them never once met.",
59,0:13:48.132,0:13:58.822,10.69,32,"Those letters, he told me himself before he passed, were the only warm thing in a cold old age."" Cobb turned, and he looked down at Josephine, and his hard face gentled.",
60,0:13:58.822,0:14:17.864,19.04,57,"""He left her everything. Every acre. Every head. Every dollar. And he charged me, personal, to find her and see her safe into it, because he said a woman alone in this country with that much coming to her would have wolves at her door inside a week."" The marshal's eyes lifted and moved, slow and cold,",
61,0:14:17.864,0:14:28.888,11.02,33,"across the front of the church across Caleb, across August Vestry and everyone in that room understood exactly what kind of wolves he meant. ""The niece's name,"" said Marshal Cobb, ""is Josephine Ellery.",
62,0:14:28.888,0:14:39.577,10.69,32,"This woman. Sitting in the worst chair in this church."" He set his hat back on his head. ""She is, as of this spring, one of the richest landowners in the territory.",
63,0:14:39.577,0:15:00.957,21.38,64,"And I'll be escorting her north to her property whenever she's of a mind to go."" The silence in that church was the loudest thing Larkspur had ever heard. And then, slowly, every head in the room began to turn — away from the bride in white at the front, away from the groom, toward the woman in the borrowed shawl at the back.",
64,0:15:00.957,0:15:10.979,10.02,30,"The woman they'd all come to laugh at. The cast-off wife. The cold, barren, disappointing bargain. Sixty thousand acres. I wish you could have seen the front of that church.",
65,0:15:10.979,0:15:29.018,18.04,54,"Caleb Carraway had gone the color of ash. You could watch the arithmetic run across his face — the same cold arithmetic that ran his whole life — as he understood, all at once, the size of the thing he had thrown out onto a porch through a closed door on a gray morning.",
66,0:15:29.018,0:15:40.042,11.02,33,The rich uncle had been real. The fortune had been real. It had been coming the whole time. And he'd been too greedy and too impatient to wait a single year for it.,
67,0:15:40.042,0:16:02.758,22.72,68,"He'd married the bank when he could have married the range. Beside him, his bride Adelaide had let go of his arm. She was young, but she was not stupid, and in the space of one minute Adelaide Vestry had understood two things at once that the man she was about to marry had thrown away a fortune out of cruelty and haste, and that he had planned,",
68,0:16:02.758,0:16:16.455,13.7,41,"on their wedding day, to publicly humiliate the woman who'd had it, purely for sport. She looked at Caleb, and whatever she'd felt for him that morning, you could see it going cold in her face like a lamp turned down.",
69,0:16:16.455,0:16:36.832,20.38,61,"And August Vestry, the banker who'd whispered the fine cruel idea over brandy — August was doing arithmetic too. He'd been about to bind his daughter and his bank to a man who'd just been revealed, in front of the whole town, as a fool who couldn't tell gold from gravel and a coward who kicked people when they were down.",
70,0:16:36.832,0:16:49.526,12.69,38,"That was not the son-in-law August Vestry had thought he was buying. But the marshal wasn't finished, and neither, for once in her quiet life, was Josephine. She rose from the chair at the back of the church.",
71,0:16:49.526,0:17:02.555,13.03,39,"Josephine Ellery stood, in her plain good dress and Beatrice's funeral shawl, and the whole church waited on her the way they'd have waited on a queen — because that, it turned out, was near enough what she was.",
72,0:17:02.555,0:17:20.260,17.71,53,She could have said anything. She'd earned the right to say anything at all. She could have laughed at Caleb the way they'd all planned to laugh at her. She could have looked at that crowd of people who'd whispered her down for two years and turned every cold word back on them.,
73,0:17:20.260,0:17:36.629,16.37,49,"She didn't. Josephine walked up the aisle — slowly, the whole church holding its breath, the same aisle she'd been marched down to be shamed not ten minutes before — and she stopped, not in front of Caleb, but in front of young Adelaide Vestry in her wedding dress.",
74,0:17:36.629,0:17:50.325,13.7,41,"""I'm sorry,"" Josephine said to the girl, and she meant it. ""Not for him. For you. You were about to marry a man who'd stand you up at an altar and use your wedding day to hurt a stranger for sport.",
75,0:17:50.325,0:18:04.356,14.03,42,"I know exactly what that man is, because I was married to him for six years. So I'll tell you the one thing nobody told me, and then I'll trouble you no more."" She looked the young bride full in the face.",
76,0:18:04.356,0:18:15.714,11.36,34,"""A man who is cruel to a woman he's finished with will one day be finished with you. Watch how he treats the people he thinks are beneath him. That's the truth of him.",
77,0:18:15.714,0:18:29.076,13.36,40,"Not how he treats you today, while you're worth something to him."" Adelaide Vestry's eyes filled. And she gave one small nod — and then she reached up and, in front of the whole town, took off her wedding veil.",
78,0:18:29.076,0:18:46.781,17.71,53,"Caleb Carraway finally found his voice. ""Josephine —"" he started, and it came out oily and desperate, all the charm gone slick and thin. ""Josie, darling, surely — surely we can talk, you and I, about — about the mistake I made, I was hasty, I never — "" Josephine looked at him.",
79,0:18:46.781,0:18:57.805,11.02,33,Six years of a closed study door. A trunk on a porch. A cold barren story carried hand to hand across a whole town. A single chair at the back of a church.,
80,0:18:57.805,0:19:20.187,22.38,67,"""You made no mistake, Caleb,"" she said, quiet and clear. ""You saw exactly what you valued, and you chose it. The only thing you got wrong was the sum. And I forgive you for that — not because you deserve it, but because I've carried you around long enough, and I mean to set you down now and walk north without you."" She turned to the marshal.",
