scene,in,out,dur_s,words,narration,image_prompt
1,0:00:00.000,0:00:17.892,17.89,53,"Five weeks after they put the nameless old beggar in the ground, a lawyer in a fine black coach rolled into the town of Granite Flat, walked into the saloon with the dust of six hundred miles on his boots, and asked one question that made every man in the room go quiet.",
2,0:00:17.892,0:00:27.006,9.11,27,"""I'm looking for the grave of an old man who died here in the spring,"" he said. ""A stranger. No money, no people, no name anyone knew.",
3,0:00:27.006,0:00:38.484,11.48,34,"I'm told he's buried on the hill."" He set his hat on the bar, and he looked around that room slow, the way a man looks when he already knows more than he's asking.",
4,0:00:38.484,0:00:47.936,9.45,28,"""What I want to know is — who paid for the headstone?"" Now, you have to understand what the town of Granite Flat knew, and what it didn't.",
5,0:00:47.936,0:00:59.752,11.82,35,"It knew there was a grave. It knew the old tramp had come through in April, sick and shaking, with a rough patched coat and no bedroll and a smell of long roads on him,",
6,0:00:59.752,0:01:09.879,10.13,30,and it knew the hotel had turned him out and the saloon had turned him out and decent folks had crossed the street when he came shuffling down the boardwalk.,
7,0:01:09.879,0:01:19.669,9.79,29,"It knew he had died somewhere, in somebody's back room and it knew, because the whole town had laughed about it for a month, that Abel Thorne, the undertaker,",
8,0:01:19.669,0:01:31.484,11.82,35,"the big slow crow of a man who buried Granite Flat's dead, had done a thing so foolish it had become the town's favorite joke. Abel Thorne had buried the beggar like a rich man.",
9,0:01:31.484,0:01:45.1000,14.52,43,"Real coffin — good pine, planed smooth, lined with clean linen. He'd washed the old man's body and combed the fringe of his white hair and dressed him for the grave in Abel's own Sunday coat, the only good coat Abel Thorne owned.",
10,0:01:45.1000,0:01:55.452,9.45,28,"He'd hired no one and asked no one; he'd dug the grave himself on the best corner of the hill, where the light comes long in the evening,",
11,0:01:55.452,0:02:05.242,9.79,29,"and he'd stood over it alone with his hat off, reading the words, because his one unbreakable rule was that nobody in his care went into the ground alone.",
12,0:02:05.242,0:02:16.720,11.48,34,"And then this was the part the town howled at the man had spent his last twelve dollars, the whole of what stood between the undertaker and empty, on a slab of good granite,",
13,0:02:16.720,0:02:31.236,14.52,43,"and he'd carved it himself, letter by letter, by lamplight, over nine nights. The town said it to his face at the end of it: You are the poorest man in Granite Flat, Abel Thorne, and you carved a monument to a tramp.",
14,0:02:31.236,0:02:49.127,17.89,53,"Because here is what the town of Granite Flat did not know. The old beggar's name was Amos Caldwell. And Amos Caldwell was the richest man in the territory richer than the bank, richer than the railroad men, a silver king who had walked away from a mansion and mines worth a kingdom,",
15,0:02:49.127,0:02:59.930,10.8,32,"and who had spent his last months on earth shuffling through hard little towns in a patched coat, dying by inches, watching what each one did with an old man worth nothing.",
16,0:02:59.930,0:03:09.382,9.45,28,"There was a will. There was a lawyer in a distant city, holding it, with instructions to follow the letters Amos mailed and see where the road ended.",
17,0:03:09.382,0:03:26.261,16.88,50,"And the last line of that will was about to fall on Granite Flat like a hammer on an anvil. Because in the saloon that day, when the lawyer asked who paid for the headstone, a very fine gentleman in a silver-buttoned vest stepped forward, smiling his best civic smile",
18,0:03:26.261,0:03:43.140,16.88,50,"and he was going to claim the credit for the whole town, and mostly for himself. And the one man who had actually done it, the man who was owed everything, was up on the hill at that very moment, digging a pauper's grave for free, knowing none of it.",
19,0:03:43.140,0:03:54.280,11.14,33,"Stay with me. Because the question wasn't idle, the lawyer wasn't a fool, and the dead man had left behind one small brass proof that no liar in Granite Flat could answer for.",
20,0:03:54.280,0:04:08.121,13.84,41,"It's going to be worth the wait. This is the story of the poorest man in town, who gave a worthless stranger the only wealth he had — his dignity — and of the will that came looking for him afterward.",
21,0:04:08.121,0:04:21.624,13.5,40,"Stay to the end. You'll want to be standing in that saloon when the lawyer takes out a brass pocket watch, opens the back of it, and asks the smiling man in the silver buttons to read what's written inside.",
22,0:04:21.624,0:04:30.739,9.11,27,"To understand what Abel Thorne did, you have to understand what Granite Flat thought of him — and what it cost him to be who he was.",
23,0:04:30.739,0:04:42.217,11.48,34,"He was a big man, Abel, heavy through the shoulders, with large careful hands and a slow deep voice he hardly used, and he had been the undertaker in Granite Flat for eleven years,",
24,0:04:42.217,0:04:51.669,9.45,28,which meant the town needed him the way it needed the gravedigger's shovel and liked him about as much. Children were told to hush when his wagon passed.,
25,0:04:51.669,0:05:04.497,12.83,38,"Men fell silent at the bar when he came in for his one beer, and found reasons to drift. Women watched him go by in his rusty black coat a coat gone brown at the seams with age,",
26,0:05:04.497,0:05:14.287,9.79,29,"because a new one cost money and Abel's money had a way of turning into other people's coffins and they called him the crow, not always behind his hand.",
27,0:05:14.287,0:05:27.452,13.17,39,"He was forty-five years old. He ate his supper alone over his workbench nearly every night of his life, in a plank building at the end of the street that was workshop and parlor and home all in one,",
28,0:05:27.452,0:05:46.694,19.24,57,"with the sawdust smell of coffin pine in everything he owned. It hadn't always been that way. There had been a wife. Her name was Lila, and she'd had a laugh you could hear from the street, and for six years the undertaker's grim house had been, of all the buildings in Granite Flat, the warm one.",
29,0:05:46.694,0:06:00.197,13.5,40,"She died in the fever year, along with forty more died in three days, in the middle of the dying, when the town was so afraid of the sickness that no one would come near the houses it had touched.",
30,0:06:00.197,0:06:13.025,12.83,38,"Abel built her coffin himself, with his own planes and his own hands, in the middle of the night, weeping into the sawdust. And when he buried her, on the hill, in the rain — no one came.",
31,0:06:13.025,0:06:26.866,13.84,41,"Not one soul out of a town she had fed and nursed and laughed with. They were afraid, and fear makes people small, and Abel Thorne stood over his wife's grave utterly alone and read the words himself into the wind.",
32,0:06:26.866,0:06:45.433,18.57,55,"He never held it against them. That was the thing about Abel that the town never did understand — he wasn't bitter, he was just changed. Something got decided in him that day in the rain, and it came out afterward as a rule, and the rule was this: nobody goes into the ground alone.",
33,0:06:45.433,0:07:03.325,17.89,53,"Not while Abel Thorne was undertaker. The ones with families got his best work at a fair price. And the ones with nobody the tramps found frozen in the wash, the miners with no kin on the books, the girls from the row houses that decent Granite Flat wouldn't name in daylight those,",
34,0:07:03.325,0:07:12.439,9.11,27,"Abel buried right, at his own cost, with a washed body and a plank coffin and a read verse and his hat in his hands. Every one.",
35,0:07:12.439,0:07:24.930,12.49,37,"Eleven years. The county paid him four dollars a pauper, when it paid at all, and a burial done Abel's way cost nine or ten, and you can do that arithmetic as fast as the town did.",
36,0:07:24.930,0:07:39.108,14.18,42,"It's why the undertaker was the poorest man on the street. It's also why, when the sick old stranger came shuffling into Granite Flat that raw April evening, there was exactly one door in town that was going to open for him.",
37,0:07:39.108,0:07:48.223,9.11,27,"But before that door, he had to be turned away from all the others — and the man doing the turning is somebody you need to meet.",
38,0:07:48.223,0:08:05.777,17.55,52,"Watch him close. He matters at the end. Vernon Price owned the hotel, the general store, and — the way he saw it — the town. He was chairman of the town council, president of the civic improvement society, and the possessor of the finest vest buttons in Granite Flat, real silver,",
39,0:08:05.777,0:08:24.344,18.57,55,"which he wore the way other men wear a gun. He gave speeches about progress. He had a plan, much discussed, to bring investors up from the city and make Granite Flat ""the jewel of the county,"" and he ran the town with an oiled smile and a ledger where he kept, in neat columns,",
40,0:08:24.344,0:08:35.822,11.48,34,"everything and everyone by their price. Vernon Price was not cruel the way a brawler is cruel. He was cruel the way winter is — by simple, total indifference to anything that couldn't pay.",
41,0:08:35.822,0:08:45.949,10.13,30,"And he had a particular contempt for Abel Thorne, because the undertaker offended his arithmetic. A man who spent money on the dead poor was, in Price's ledger, a leak.",
42,0:08:45.949,0:08:57.764,11.82,35,"Worse — the pauper's field on the hill sat on ground Price wanted, a gentle slope with the best view in town, which he had promised, quiet-like, to his city investors for a fine hotel.",
43,0:08:57.764,0:09:16.331,18.57,55,"For a year now he'd been working the council: move the paupers' bones to a ditch lot by the flats, cancel the county burial contract, ease that big slow fool out entirely and bring in a cut-rate man from the city who'd plant the poor like fence posts and never waste a nickel on linen.",
44,0:09:16.331,0:09:28.146,11.82,35,"""Sentiment,"" Vernon Price liked to say, tapping his cane on the boardwalk, ""is the one debt this town cannot afford."" That was the Granite Flat the old man walked into on the ninth of April,",
45,0:09:28.146,0:09:38.274,10.13,30,"with the wind raw off the flats and the light going purple, an old man small and wiry and bent, in a drover's coat patched with three kinds of cloth,",
46,0:09:38.274,0:09:52.115,13.84,41,"shaking with something more than cold. He tried the hotel first. Remember that he tried the hotel first — remember it at the end, when the man who owned it stands up in the saloon to collect a dead man's gratitude.",
47,0:09:52.115,0:10:04.268,12.15,36,"Here is what actually happened at that door. Amos Caldwell though no one in Granite Flat would ever hear that name while he lived climbed the three steps of the Price Hotel slow, holding the rail,",
48,0:10:04.268,0:10:16.083,11.82,35,"and stood dripping road-dust on the clean porch, and asked the clerk, in a voice gone thin as paper, whether there was a corner where an old man could lie down out of the wind.",
49,0:10:16.083,0:10:32.962,16.88,50,"He had no money, he said, but he could sweep, or sit up nights with the stove. The clerk went and got Vernon Price, and Vernon Price came out with his thumbs in his silver-buttoned vest, looked the old man over once, top to bottom, the way he priced everything,",
50,0:10:32.962,0:10:44.102,11.14,33,"and found the sum wanting. ""This is a business, old fellow,"" Price said, not unkindly, which somehow made it worse — that smooth, reasonable, sorrowful tone men like Price keep for the poor.",
51,0:10:44.102,0:10:59.631,15.53,46,"""Not a mission. If we bedded every vagrant who liked our porch, we'd be a poorhouse by June. You'll find the road out of town keeps going in both directions."" And then, to the clerk, in a voice not quite low enough: ""See he doesn't linger.",
52,0:10:59.631,0:11:12.121,12.49,37,"Nothing empties a lobby like the smell of poverty."" The old man took it without a word. He'd taken it in ten towns before this one; he had a way, by then, of receiving contempt like weather.",
53,0:11:12.121,0:11:24.274,12.15,36,"He shuffled down the steps and tried the saloon, where the barman let him stand by the stove for exactly as long as it took the regulars to start their jokes and then moved him along.",
54,0:11:24.274,0:11:33.389,9.11,27,"He tried the church; it was locked. He tried the livery; the boy there, not unkind but afraid for his job, turned him out of the straw.",
55,0:11:33.389,0:11:51.280,17.89,53,"By full dark the old man was sitting on the steps of the last building on the street, a plank building with a lamp burning late in the window and a sign gone half unreadable with weather, and he was coughing in a way that came all the way up from his boots,",
56,0:11:51.280,0:12:11.197,19.92,59,"and that is where the undertaker, coming out to fetch stovewood, nearly stumbled over him. Abel looked down at the old man on his steps. The old man looked up at the big shape in the doorway, and past it, at the workshop inside the sawhorses, the planed boards, the coffin standing finished in the lamplight and he laughed,",
57,0:12:11.197,0:12:20.312,9.11,27,"a dry rattle with no self-pity in it at all, and said the first thing anyone in Granite Flat had heard him say above a mumble: ""Well.",
58,0:12:20.312,0:12:36.854,16.54,49,"I've been shown every door in this town, and it turns out the only one open is the undertaker's. There's a sermon in that, if either of us had the strength for it."" And Abel Thorne, who hardly used his voice, stood aside from his door and used it.",
59,0:12:36.854,0:12:51.369,14.52,43,"""Come in out of the wind,"" he said. ""I've got stew, and the stove's going. You can have the cot by the chimney."" And when the old man reached the step and stumbled, Abel took his arm took the arm of the shaking,",
60,0:12:51.369,0:13:08.248,16.88,50,"road-filthy old tramp the whole town had spent a day refusing to touch and helped him over the threshold like he was somebody. The old man stayed six days, and they were, though neither of them said any such word, the best six days either man had passed in years.",
61,0:13:08.248,0:13:20.064,11.82,35,"Abel fed him stew and bread and put him on the cot by the chimney under his own spare blanket, and asked him nothing — not his name, not his people, not what he'd been.",
62,0:13:20.064,0:13:30.866,10.8,32,"That was the undertaker's way; eleven years of burying strangers had taught him that a man's story is his own property, to give or keep. The old man gave only a little.",
63,0:13:30.866,0:13:42.682,11.82,35,"Said his name was ""Amos, just Amos."" Said he'd ""been in silver, once, and got out of it."" Said he was going no place in particular, by way of everyplace, and was in no hurry,",
64,0:13:42.682,0:13:54.159,11.48,34,"being nearly there. He had a dry, flinty humor that woke something in Abel that had been asleep since the fever year, and in the evenings the two of them sat by the stove,",
65,0:13:54.159,0:14:03.274,9.11,27,"the undertaker and the tramp, and talked the slow talk of men who have both lost the thing they were living for and gone on living anyway.",
66,0:14:03.274,0:14:18.465,15.19,45,"Because they had that in common, and they smelled it on each other the first night. Abel told him — the first soul he'd ever told — about Lila, and the coffin planed at midnight, and the funeral in the rain that nobody came to.",
67,0:14:18.465,0:14:27.917,9.45,28,"The old man listened all the way through without once saying it would be all right, which is the only way to listen to a thing like that.",
68,0:14:27.917,0:14:47.834,19.92,59,"And on the fourth night, the old man paid it back. He'd had a son, he said, looking at the stove. A good one. Daniel. Lost him young, in a hole in the ground the old man had ordered dug ""my arithmetic,"" he said, ""my hurry"" and a wife who died of the grief of it within the year.",
69,0:14:47.834,0:14:57.287,9.45,28,"""I was rich, then,"" he said, and it was the only time he said the word. ""I have spent a long while since trying to give it back.",
70,0:14:57.287,0:15:09.439,12.15,36,"It don't give back. There's things you buy that money won't return."" He had one possession one, in all the world, that he hadn't shed somewhere down the road: a brass pocket watch, old and plain,",
71,0:15:09.439,0:15:19.567,10.13,30,"that he wound every night at the same hour with hands that shook worse each day. On the fifth night he pressed it on Abel, and would not be refused.",
72,0:15:19.567,0:15:31.720,12.15,36,"""It keeps time true,"" he said, ""which is more than most of us manage. When I'm gone — and we both know the schedule I'm on, we're neither of us fools — you keep it wound.",
73,0:15:31.720,0:15:43.197,11.48,34,"Not buried. Wound. A watch in a coffin is a waste of a good watch, and besides —"" and here the flinty humor came up through the fever one more time ""where I'm going,",
74,0:15:43.197,0:16:02.439,19.24,57,"I expect they keep their own time."" Abel took the watch because a dying man's gift refuses badly. He did not open the back of it. He did not know what was engraved there, and he wouldn't know for five more weeks, and neither will you but that watch is the hinge this whole story swings on,",
75,0:16:02.439,0:16:12.567,10.13,30,so keep your eye on the undertaker's vest pocket. Now comes the hard night. Stay with me; the morning after it is where the town earns what's coming to it.,
76,0:16:12.567,0:16:30.459,17.89,53,"On the sixth night the cough turned, the way a cough will in an old chest, and by midnight the fever was walking him out. Abel sat by the cot the whole way, because that was the rule in its truest form nobody goes alone, not into the ground and not toward it",
77,0:16:30.459,0:16:41.599,11.14,33,"and kept the old man's hand in his big careful one, and kept the lamp lit, because dying in the dark is a fear that doesn't leave a man just because he's brave.",
78,0:16:41.599,0:16:51.726,10.13,30,"Near the end, the old man came clear one last time, the way they sometimes do, and looked at the big homely worried face above him, and what he said",
79,0:16:51.726,0:17:05.904,14.18,42,"his last words in this world was this: ""Ten towns, Abel. Ten towns I walked through with nothing, to see what nothing gets a man. And it got me told, and moved along, and priced, and laughed at — ten towns' worth.",
80,0:17:05.904,0:17:16.707,10.8,32,"And then, in the eleventh, one door."" His hand tightened on the undertaker's, thin as a bird's foot and strong as wire. ""It was worth the whole walk to find one door.",
81,0:17:16.707,0:17:32.236,15.53,46,"You go on being what you are, you hear me? The world will tell you it makes you a fool. The world has never once known what a thing is worth."" He died a little after four, quiet, with the lamp lit and his hand held,",
82,0:17:32.236,0:17:47.764,15.53,46,"in the one building in Granite Flat that had wanted him. And in the morning, Abel Thorne went to the county clerk to report a pauper's death, and Vernon Price who kept the clerk's office in his vest pocket along with the rest of the town",
83,0:17:47.764,0:17:58.904,11.14,33,"heard about it before noon, and put it around the saloon by supper, already shaped as a joke: the old vagrant had crawled the length of town to die on the crow's doorstep.",
